[2024-07-21 01:38:46,155: INFO: main: Welcome to our custom log]
[2024-07-22 20:33:30,647: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-07-22 20:33:30,652: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-22 20:33:30,655: INFO: common: created directory at: artifacts]
[2024-07-22 20:33:30,657: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-22 20:33:30,658: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-22 20:34:21,873: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-22 20:36:45,884: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-07-22 20:36:45,888: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-22 20:36:45,890: INFO: common: created directory at: artifacts]
[2024-07-22 20:36:45,892: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-22 20:36:45,894: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1kwE9Ml5moR1Lo_nYsEUjEimeqYCoyQCV/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-22 20:46:10,779: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1kwE9Ml5moR1Lo_nYsEUjEimeqYCoyQCV/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-23 00:23:21,032: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-07-23 00:23:21,032: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-07-23 00:23:21,033: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-23 00:23:21,033: INFO: common: created directory at: artifacts]
[2024-07-23 00:23:21,033: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-23 00:23:21,033: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1kwE9Ml5moR1Lo_nYsEUjEimeqYCoyQCV/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-23 00:29:45,275: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-07-23 00:29:45,276: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-07-23 00:29:45,277: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-23 00:29:45,277: INFO: common: created directory at: artifacts]
[2024-07-23 00:29:45,277: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-23 00:29:45,277: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1kwE9Ml5moR1Lo_nYsEUjEimeqYCoyQCV/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-23 00:30:04,776: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-07-23 00:30:04,777: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-07-23 00:30:04,777: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-23 00:30:04,777: INFO: common: created directory at: artifacts]
[2024-07-23 00:30:04,777: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-23 00:30:04,777: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1kwE9Ml5moR1Lo_nYsEUjEimeqYCoyQCV/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-23 00:41:13,340: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1kwE9Ml5moR1Lo_nYsEUjEimeqYCoyQCV/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-23 00:41:18,120: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
